snumat-id,formula,HSE,GGA
SM-375,As16S12,3.015557,2.150762
SM-284,As16S12,2.861081,1.976483
SM-392,As16S16,2.404459,1.64473
SM-20330,As16S16,2.407725,1.647738
SM-472,As16S16,2.470675,1.680993
SM-393,As16S16,2.591853,1.78966
SM-473,As8S10,2.537011,1.709575
SM-19125,As16Se12,2.010582,1.244346
SM-1523,As16Se16,1.83498,1.123393
SM-14381,Sr6Si4As8,1.503638999999999,0.8862419999999991
SM-18402,Sr12Sn8As16,1.204087,0.664015
SM-4354,Sr6As8,1.124973,0.5994
SM-11037,Pb6B1As5O20,4.300875,3.03457
SM-11038,Cs14Nb2In6As10,1.504282,1.007073
SM-17277,As5Te7I1,0.6294469999999991,0.26448699999999997
SM-14855,Ba2Pt8As12,0.5963899999999991,0.21835300000000002
SM-11039,Ba2As6Cu7O24,2.96373,0.896119
SM-11040,Ba8Cd6As12Li4,0.9242300000000001,0.299666
SM-11041,Bi1Se12As6K3,1.648608,1.038516
SM-17278,As12Ga4Ca10,0.668192,0.098536
SM-16111,Ca10Sn4As12,0.796075999999999,0.257058
SM-4419,Cs4As6,0.943213,0.418106
SM-16080,Cs14In6As12,0.743916,0.23025199999999998
SM-11042,Pb2Cu7As6O24,3.31359,1.415012
SM-18718,Fe14As12O48,1.611325,1.365497
SM-13648,Sr1Zr4As6O24,6.056233000000001,4.182804
SM-14830,Sr2Pt8As12,0.45420999999999906,0.127619999999999
SM-4355,Rb4As6,0.8969619999999999,0.366982
SM-14574,Sr10Sn4As12,0.581871,0.067347
SM-286,As16S18,2.339422,1.543938
SM-131,As4,0.436249,0.0
SM-20218,Au1K1Ba4C4O4,3.977757,2.6563879999999997
SM-11043,Au1Na1Ba4O8,3.221713,1.547656
SM-15011,Au4Bi4Br24,2.079914,1.194791
SM-13649,Au4Bi4Cl24,2.745784,1.691884
SM-16011,Bi2Au2K4,1.328635,0.834525
SM-4100,Bi8Au4Na4O20,1.746047,0.8527800000000001
SM-4957,Au2Bi10Na4O22,1.838488,0.9337900000000001
SM-1804,Au2Br2F12,3.810548,2.001047
SM-17280,Au8Se8Br8,0.949673,0.5609919999999999
SM-18011,Au2Br6Cs2,1.109487,0.6778139999999999
SM-18012,Rb2Au2Br6,1.013304,0.5973400000000001
SM-5131,Au8Br24,1.610962,0.841263
SM-17281,Au4K4Br16,1.986434,1.019072
SM-18288,Au2Rb2Br8,2.511685,1.511983
SM-17282,Au2Te2Br16,1.784248,0.8576779999999999
SM-11044,Au4Cl12S8C4,2.942705,1.936776
SM-16174,Au1C1N1,2.539361,1.616293
SM-15641,Au4Cs4S8C8N8,4.121359,2.93377
SM-16245,Cs1Au1C2,2.789427,1.923176
SM-12983,K4Au4S8N8C8,3.505802,2.384269
SM-11046,K3Au3C6N6,3.870918,2.800109
SM-16170,K1Au1C2,2.777772,1.924609
SM-16192,Li1Au1C2,2.24461,1.380599
SM-12984,Rb4Au4S8N8C8,3.798891,2.650401
SM-18013,Rb1Au1C2,2.97581,2.081914
SM-13651,Ca2Au2P2,0.05690699999999901,0.0
SM-11047,Au2Cs2Cd2S4,3.087286,2.085874
SM-11048,Au4Cd4Rb4S8,2.962098,2.001549
SM-3006,Au6Cl6O6,2.265219,1.078549
SM-11049,Au4Se4Cl4O12,2.598791,1.408009
SM-485,Au4Cl4,3.026988,1.884591
SM-18016,Au2Cs2Cl6,1.368585,0.822589
SM-525,Au4Cl12,2.518383,1.318796
SM-17286,Au2Cs2Cl8,3.188478,1.954318
SM-12985,Au4Cl16K4O8H8,2.547499,0.8419289999999999
SM-18482,Au4K4Cl16,2.8400380000000003,0.0
SM-18287,Au4K4Cl16,2.837226,0.0
SM-11050,Au2Cl8N10S10,2.564893,1.7254019999999999
